Token,Var_Refs_In_CSS,Defined
--sn-anim-3d-depth-far,0,yes
--sn-anim-3d-depth-mid,0,yes
--sn-anim-3d-depth-near,0,yes
--sn-anim-3d-perspective,0,yes
--sn-animation-intensity,0,yes
--sn-animation-reduce,0,yes
--sn-anim-beat-sync-enabled,0,yes
--sn-anim-beat-sync-intensity,0,yes
--sn-anim-beat-sync-phase,0,yes
--sn-anim-breathing-cosmic,3,yes
--sn-anim-breathing-effects,1,yes
--sn-anim-breathing-energetic,2,yes
--sn-anim-breathing-gentle,0,yes
--sn-anim-duration-extended,0,yes
--sn-anim-duration-fast,0,yes
--sn-anim-duration-normal,0,yes
--sn-anim-duration-slow,0,yes
--sn-anim-easing-accelerate,0,yes
--sn-anim-easing-bounce,0,yes
--sn-anim-easing-bounce-gentle,0,yes
--sn-anim-easing-bounce-medium,2,yes
--sn-anim-easing-bounce-playful,1,yes
--sn-anim-easing-bounce-smooth,2,yes
--sn-anim-easing-bounce-strong,1,yes
--sn-anim-easing-breathing,0,yes
--sn-anim-easing-custom-1,0,yes
--sn-anim-easing-custom-2,0,yes
--sn-anim-easing-custom-3,0,yes
--sn-anim-easing-decelerate,0,yes
--sn-anim-easing-dynamic,3,yes
--sn-anim-easing-elastic,0,yes
--sn-anim-easing-emergence,1,yes
--sn-anim-easing-harmony,0,yes
--sn-anim-easing-organic,15,yes
--sn-anim-easing-standard,104,yes
--sn-anim-easing-visual-effects,0,yes
--sn-anim-frame-budget,0,yes
--sn-anim-frame-fps,0,yes
--sn-anim-frame-priority,0,yes
--sn-anim-motion-blur,0,yes
--sn-anim-motion-intelligence-level,0,yes
--sn-anim-motion-reduced,0,yes
--sn-anim-motion-scale,0,yes
--sn-anim-musical-beat-duration,1,yes
--sn-anim-musical-color-easing,0,yes
--sn-anim-musical-color-speed,0,yes
--sn-anim-musical-color-transition,0,yes
--sn-anim-musical-measure-duration,1,yes
--sn-anim-musical-phrase-duration,0,yes
--sn-anim-transition-cosmic,1,yes
--sn-bg-active-backend,0,yes
--sn-bg-beat-color-shift,0,yes
--sn-bg-beat-pulse,0,yes
--sn-bg-beat-pulse-intensity,1,yes
--sn-bg-beat-pulse-scale,0,yes
--sn-bg-gradient-accent-rgb,106,yes
--sn-bg-gradient-blur,0,yes
--sn-bg-gradient-brightness,0,yes
--sn-bg-gradient-contrast,0,yes
--sn-bg-gradient-flow-scale,0,yes
--sn-bg-gradient-flow-speed,0,yes
--sn-bg-gradient-flow-x,0,yes
--sn-bg-gradient-flow-y,0,yes
--sn-bg-gradient-opacity,0,yes
--sn-bg-gradient-primary-rgb,71,yes
--sn-bg-gradient-saturation,0,yes
--sn-bg-gradient-secondary-rgb,44,yes
--sn-bg-nebula-layer-0-opacity,0,yes
--sn-bg-nebula-layer-1-opacity,0,yes
--sn-bg-nebula-layer-2-opacity,0,yes
--sn-bg-nebula-layer-3-opacity,0,yes
--sn-bg-nebula-max-blur,0,yes
--sn-bg-particle-animation-speed,0,yes
--sn-bg-particle-cluster-size,0,yes
--sn-bg-particle-density,0,yes
--sn-bg-particle-energy-intensity,0,yes
--sn-bg-particle-focus-dampening,0,yes
--sn-bg-particle-network-opacity,0,yes
--sn-bg-particle-pulse-speed,0,yes
--sn-bg-webgl-ready,0,yes
--sn-bg-webgpu-ready,0,yes
--sn-brightness-balanced-brightness,1,yes
--sn-brightness-balanced-contrast,1,yes
--sn-brightness-balanced-opacity,1,yes
--sn-brightness-balanced-saturation,1,yes
--sn-brightness-bright-brightness,1,yes
--sn-brightness-bright-contrast,1,yes
--sn-brightness-bright-opacity,1,yes
--sn-brightness-bright-saturation,1,yes
--sn-brightness-dark-brightness,2,yes
--sn-brightness-dark-contrast,2,yes
--sn-brightness-dark-opacity,1,yes
--sn-brightness-dark-saturation,2,yes
--sn-brightness-mode,0,yes
--sn-color-accent-hex,2,yes
--sn-color-accent-rgb,2,yes
--sn-color-base-hex,0,yes
--sn-color-base-rgb,0,yes
--sn-color-extracted-dominant-rgb,0,yes
--sn-color-extracted-primary-rgb,0,yes
--sn-color-extracted-secondary-rgb,0,yes
--sn-color-extracted-tertiary-rgb,0,yes
--sn-color-extracted-vibrant-rgb,0,yes
--sn-color-harmony-analogous-rgb,1,yes
--sn-color-harmony-blend-intensity,0,yes
--sn-color-harmony-complementary-rgb,1,yes
--sn-color-harmony-triadic-rgb,0,yes
--sn-color-oklch-accent-c,0,yes
--sn-color-oklch-accent-h,0,yes
--sn-color-oklch-accent-l,0,yes
--sn-color-oklch-primary-c,0,yes
--sn-color-oklch-primary-h,0,yes
--sn-color-oklch-primary-l,0,yes
--sn-color-primary-hex,0,yes
--sn-color-primary-rgb,0,yes
--sn-color-temporal-future-rgb,0,yes
--sn-color-temporal-past-rgb,0,yes
--sn-color-temporal-present-rgb,0,yes
--sn-color-visual-effects-deep-rgb,0,yes
--sn-color-visual-effects-glow-rgb,0,yes
--sn-color-visual-effects-surface-rgb,0,yes
--sn-cosmic-accent-hex,3,yes
--sn-cosmic-accent-rgb,12,yes
--sn-cosmic-base-hex,2,yes
--sn-cosmic-base-rgb,3,yes
--sn-cosmic-secondary-hex,1,yes
--sn-cosmic-secondary-rgb,9,yes
--sn-cosmic-surface-hex,1,yes
--sn-cosmic-surface-rgb,3,yes
--sn-cosmic-text-hex,1,yes
--sn-cosmic-text-rgb,0,yes
--sn-dynamic-accent-hex,1,yes
--sn-dynamic-accent-rgb,3,yes
--sn-dynamic-primary-hex,1,yes
--sn-dynamic-primary-rgb,1,yes
--sn-dynamic-secondary-hex,0,yes
--sn-dynamic-secondary-rgb,0,yes
--sn-easing-explorer,6,yes
--sn-echo-hue-shift,2,yes
--sn-echo-offset-x,2,yes
--sn-echo-offset-y,2,yes
--sn-echo-radius-multiplier,2,yes
--sn-echo-rotate,0,yes
--sn-echo-skew,2,yes
--sn-emotion-aggressive-oklab-accent-rgb,1,yes
--sn-emotion-aggressive-oklab-atmosphere-rgb,0,yes
