Token,References,Depth
--sn-bg-gradient-primary-rgb,1,2
--sn-bg-gradient-secondary-rgb,1,2
--sn-bg-gradient-accent-rgb,1,2
--sn-bg-gradient-saturation,1,2
--sn-bg-gradient-brightness,1,2
--sn-bg-gradient-contrast,1,2
--sn-anim-musical-color-transition,0,1
--sn-anim-musical-color-easing,0,1
--sn-anim-musical-color-speed,0,1
--sn-anim-beat-sync-intensity,0,1
--sn-anim-beat-sync-phase,0,1
--sn-bg-beat-pulse-intensity,0,1
--sn-bg-beat-pulse,1,2
--sn-anim-duration-fast,1,2
--sn-anim-duration-normal,1,2
--sn-anim-duration-slow,1,2
--sn-anim-duration-extended,1,2
--sn-easing-explorer,1,2
--sn-transition-timing-default,1,2
--sn-transition-fast,2,2
--sn-transition-standard,2,2
--sn-transition-slow,2,2
--sn-ui-button-accent-hex,1,2
--sn-ui-button-accent-rgb,1,2
--sn-ix-ripple-color-rgb,1,2
--sn-dynamic-accent-hex,1,2
--sn-dynamic-accent-rgb,1,2
--sn-dynamic-primary-hex,1,2
--sn-dynamic-primary-rgb,1,2
--sn-dynamic-secondary-hex,1,2
--sn-dynamic-secondary-rgb,1,2
--sn-color-accent-hex,1,2
--sn-color-accent-rgb,1,2
--sn-color-primary-hex,1,2
--sn-color-primary-rgb,1,2
--sn-color-base-hex,1,2
--sn-color-base-rgb,1,2
--sn-color-extracted-primary-rgb,1,2
--sn-color-extracted-secondary-rgb,1,2
--sn-color-extracted-tertiary-rgb,1,2
--sn-color-extracted-dominant-rgb,1,2
--sn-color-extracted-vibrant-rgb,1,2
--sn-color-harmony-complementary-rgb,1,2
--sn-color-harmony-analogous-rgb,1,2
--sn-color-harmony-triadic-rgb,1,2
--sn-oklab-primary-rgb,1,2
--sn-oklab-accent-rgb,1,2
--sn-oklab-highlight-rgb,1,2
--sn-oklab-shadow-rgb,1,2
--sn-musical-oklab-primary-rgb,1,2
--sn-musical-oklab-secondary-rgb,1,2
--sn-musical-oklab-accent-rgb,1,2
--sn-musical-oklab-highlight-rgb,1,2
--sn-musical-oklab-shadow-rgb,1,2
--sn-genre-electronic-oklab-primary-rgb,1,2
--sn-genre-electronic-oklab-accent-rgb,1,2
--sn-genre-classical-oklab-primary-rgb,1,2
--sn-genre-classical-oklab-accent-rgb,1,2
--sn-genre-rock-oklab-primary-rgb,1,2
--sn-genre-rock-oklab-accent-rgb,1,2
--sn-genre-jazz-oklab-primary-rgb,1,2
--sn-genre-jazz-oklab-accent-rgb,1,2
--sn-genre-hiphop-oklab-primary-rgb,1,2
--sn-genre-hiphop-oklab-accent-rgb,1,2
--sn-genre-ambient-oklab-primary-rgb,1,2
--sn-genre-ambient-oklab-accent-rgb,1,2
--sn-genre-folk-oklab-primary-rgb,1,2
--sn-genre-folk-oklab-accent-rgb,1,2
--sn-genre-pop-oklab-primary-rgb,1,2
--sn-genre-pop-oklab-accent-rgb,1,2
--sn-genre-default-oklab-primary-rgb,1,2
--sn-genre-default-oklab-accent-rgb,1,2
--sn-color-temporal-past-rgb,1,2
--sn-color-temporal-present-rgb,1,2
--sn-color-temporal-future-rgb,1,2
--sn-color-visual-effects-deep-rgb,1,2
--sn-color-visual-effects-surface-rgb,1,2
--sn-color-visual-effects-glow-rgb,1,2
--sn-anim-breathing-effects,0,1
--sn-bg-gradient-saturation,1,2
--sn-bg-gradient-brightness,1,2
--sn-bg-gradient-contrast,1,2
--sn-bg-gradient-opacity,1,2
--sn-bg-gradient-saturation,1,2
--sn-bg-gradient-brightness,1,2
--sn-bg-gradient-contrast,1,2
--sn-bg-gradient-opacity,1,2
--sn-bg-gradient-saturation,1,2
--sn-bg-gradient-brightness,1,2
--sn-bg-gradient-contrast,1,2
--sn-bg-gradient-opacity,1,2
